ID;CodigoPrograma;GradoMinimo;GradoMaximo;Estado;NoAnual;Dias;Transporte;TipoPago;Precio;Seguro;SeguroCancelado;PorcentajeSeguro;PagoCancelado;Chaperones;LineaPobreza;Region;SegmentoCRM;TipoEscuela;ReunionPadres;MenorGradoEscuela;MayorGrado Escuela;TotalAlumnosEscuela;NivelIngresos;PagoFacil;ApoyoOficial;TipoPrograma;NuevoExistente;ParticipantesPago;TotalIngreso;Reuniones;DiasPrimeraReunion;DiasUltimaReunion;TipoGradoMinimo;TipoGradoMaximo;MesPartida;CodigoAgregacionPrograma;MismoGrado;ParticipantesEstudiantado;RatioPago;Tamano;Retenidos2020
1103;HD;8;8;KY;0;3;A;FR;1048;40;1;0.541;1;6;;Other;10;Catholic;0;K;8;697;M;0.203;1;East Coast;EXISTING;74;1048;0;NA;NA;Middle;Middle;May;H;1;0.106169297;0.925;M-L;1
1104;HS;4;4;CA;0;3;A;FR;787;34;7;0.472;8;2;;Southern California;5;CHD;1;PK;8;500;Q;0.264;1;CA History;EXISTING;72;787;1;230;230;Elementary;Elementary;May;H;1;0.144;0.972972973;S-M;1
1105;HD;8;8;OH;0;4;B;NA;807;27;2;0.25;2;7;A;Other;5;PUBLIC;1;6;8;620;O;0.269;0;East Coast;EXISTING;108;807;1;190;190;Middle;Middle;May;H;1;0.174193548;0.939130435;M-L;1
1106;HD;NA;NA;TX;0;4;A;NA;1388;24;0;0.96;0;2;;Houston;1;Catholic;1;PK;8;140;H;0.12;0;East Coast;EXISTING;25;1388;1;251;251;Undefined;Undefined;May;H;0;0.178571429;0.925925926;S;1
1107;HD;8;8;ME;0;4;A;NA;1299;16;1;0.615;1;2;A;Other;5;PUBLIC;1;5;8;538;M;0.231;0;East Coast;EXISTING;26;1299;2;350;245;Middle;Middle;May;H;1;0.048327138;0.928571429;S-M;1
1108;HD;8;8;CT;0;4;B;NA;799;83;7;0.407;18;47;A;Other;5;PUBLIC;1;7;8;655;Q;0.181;0;East Coast;EXISTING;204;799;1;217;217;Middle;Middle;May;H;1;0.311450382;0.812749004;M-L;1
1109;HW;5;NA;SC;0;4;B;NA;793;25;1;0.595;2;2;;Other;4;CHD;1;PK;6;409;I;0.262;0;East Coast;EXISTING;42;793;1;230;230;Elementary;Undefined;May;H;0;0.102689487;0.954545455;S-M;0
1110;HD;6;6;SC;0;4;B;NA;792;27;3;0.643;4;2;;Other;4;CHD;1;PK;6;409;I;0.095;0;East Coast;EXISTING;42;792;1;230;230;Middle;Middle;May;H;1;0.102689487;0.954545455;S-M;0
1111;HD;8;8;OH;0;4;B;NA;759;47;2;0.61;2;7;A;Other;10;PUBLIC;1;7;12;500;H;0.247;1;East Coast;EXISTING;77;759;1;251;251;Middle;Middle;May;H;1;0.154;0.916666667;S-M;1
1112;HG;4;4;CA;0;4;A;NA;958;22;8;0.579;8;3;;Southern California;5;Private non-Christian;1;K;7;365;P;0.132;1;CA History;EXISTING;38;958;1;224;224;Elementary;Elementary;May;H;1;0.104109589;0.926829268;S-M;1
1113;CD;8;8;KY;1;4;A;NA;1111;11;0;0.458;1;1;;Other;2;CHD;1;PK;8;200;I;0.167;1;East Coast;EXISTING;24;1111;2;259;253;Middle;Middle;May;C;1;0.12;0.96;S;0
1114;HD;NA;NA;CO;0;4;A;NA;1549;15;1;0.652;1;2;B;Other;5;PUBLIC;1;6;8;511;N;0.13;0;East Coast;EXISTING;23;1549;1;207;207;Undefined;Undefined;May;H;0;0.045009785;0.92;S-M;0
1115;HD;NA;NA;OH;0;5;B;NA;727;20;0;0.455;0;3;B;Other;8;PUBLIC;1;9;12;350;K;0.091;0;East Coast;EXISTING;44;727;2;265;230;Undefined;Undefined;May;H;0;0.125714286;0.936170213;S-M;1
1116;HW;NA;NA;MI;1;3;B;NA;588;15;4;0.417;7;5;;Other;7;Private non-Christian;1;;NA;180;P;0.139;0;East Coast;NEW;36;588;1;229;229;Undefined;Undefined;May;H;0;0.2;0.87804878;S;1
1117;HD;7;8;OH;0;4;B;NA;756;18;8;0.643;17;4;;Other;10;CHD;0;PK;12;700;L;0.036;0;East Coast;NEW;28;756;0;NA;NA;Middle;Middle;May;H;0;0.04;0.875;M-L;0
1118;HD;8;8;FL;0;5;B;NA;949;7;3;0.333;5;2;C;Other;10;PUBLIC;1;K;8;635;C;0.286;0;East Coast;EXISTING;21;949;2;363;258;Middle;Middle;May;H;1;0.033070866;0.913043478;M-L;0
1119;HS;4;4;CA;0;1;A;FR;386;19;3;0.17;0;4;B;Southern California;4;PUBLIC;0;K;5;640;Q;0.214;1;CA History;EXISTING;112;386;0;NA;NA;Elementary;Elementary;May;H;1;0.175;0.965517241;M-L;1
1120;HG;4;4;CA;0;2;A;NA;612;28;0;0.549;0;2;;Southern California;4;Private non-Christian;1;PK;6;280;Q;0.02;1;CA History;EXISTING;51;612;1;191;191;Elementary;Elementary;May;H;1;0.182142857;0.962264151;S;1
1121;HS;4;4;CA;0;2;A;FR;566;35;3;0.614;6;3;;Southern California;5;CHD;0;K;8;270;Q;0.281;1;CA History;EXISTING;57;566;0;NA;NA;Elementary;Elementary;May;H;1;0.211111111;0.95;S;1
1122;HD;7;8;MI;1;3;A;SA;1270;0;0;0;0;1;B;Other;1;PUBLIC;0;K;12;65;E;0;0;East Coast;EXISTING;15;1270;0;NA;NA;Middle;Middle;May;H;0;0.230769231;0.9375;S;0
1123;HZ;7;8;AZ;0;3;B;SA;551;0;0;0;3;5;;Other;5;Catholic;0;PK;8;400;G;0;0;CA History;EXISTING;42;551;0;NA;NA;Middle;Middle;May;H;0;0.105;0.893617021;S-M;1
1124;CD;6;6;OH;0;3;B;NA;646;10;4;0.286;5;4;;Other;10;CHD;1;PK;12;1000;I;0.343;0;East Coast;EXISTING;35;646;1;268;268;Middle;Middle;May;C;1;0.035;0.897435897;L;0
1125;CD;8;8;TX;0;4;A;NA;1519;17;3;0.739;3;1;;Houston;10;CHD;0;PK;8;226;C;0.174;0;East Coast;EXISTING;23;1519;0;NA;NA;Middle;Middle;May;C;1;0.101769912;0.958333333;S;1
1126;HD;8;8;MI;0;4;B;FR;668;10;0;0.213;4;4;C;Other;2;PUBLIC;1;K;8;450;J;0.021;0;East Coast;EXISTING;47;668;1;237;237;Middle;Middle;May;H;1;0.104444444;0.921568627;S-M;1
1127;HVP;8;8;TN;0;5;B;NA;459;48;11;0.774;16;4;C;Other;10;PUBLIC;1;5;8;700;G;0.258;0;East Coast;NEW;62;459;1;239;239;Middle;Middle;May;H;1;0.088571429;0.939393939;M-L;1
1128;HD;5;6;AL;1;6;B;NA;1001;26;9;0.788;9;3;C;Other;10;PUBLIC;1;K;12;775;D;0.242;0;East Coast;EXISTING;33;1001;2;440;230;Elementary;Middle;May;H;0;0.042580645;0.916666667;M-L;0
1129;HS;4;4;CA;0;1;A;NA;349;25;7;0.198;5;3;B;Southern California;4;PUBLIC;1;K;6;603;Q;0.175;1;CA History;EXISTING;126;349;1;225;225;Elementary;Elementary;May;H;1;0.208955224;0.976744186;M-L;1
1130;HS;4;4;CA;0;1;A;SA;429;0;0;0;0;5;;Southern California;5;Private non-Christian;1;K;8;420;I;0;1;CA History;EXISTING;46;429;1;247;247;Elementary;Elementary;May;H;1;0.10952381;0.901960784;S-M;1
1131;HS;4;4;CA;0;2;A;FR;635;6;0;0.353;0;1;;Southern California;5;CHD;1;K;8;470;P;0.118;1;CA History;EXISTING;17;635;1;252;252;Elementary;Elementary;May;H;1;0.036170213;0.944444444;S-M;1
1132;HS;5;5;CA;0;2;A;NA;599;2;0;0.125;1;2;;Southern California;5;CHD;1;PK;8;300;J;0;1;CA History;EXISTING;16;599;1;231;231;Elementary;Elementary;May;H;1;0.053333333;0.888888889;S;1
1133;HS;4;4;CA;0;2;A;CP;622;15;0;0.6;0;1;;Southern California;11;Private non-Christian;1;K;8;165;P;0.48;1;CA History;EXISTING;25;622;1;240;240;Elementary;Elementary;May;H;1;0.151515152;0.961538462;S;1
1134;HS;4;5;CA;1;2;A;FR;589;3;0;0.167;3;2;;Southern California;11;CHD;1;PK;8;165;M;0;1;CA History;EXISTING;18;589;2;234;219;Elementary;Elementary;May;H;0;0.109090909;0.9;S;0
1135;HS;4;4;CA;0;2;A;NA;555;8;1;0.348;1;1;;Southern California;5;CHD;1;PK;8;465;P;0.087;1;CA History;NEW;23;555;2;366;240;Elementary;Elementary;May;H;1;0.049462366;0.958333333;S-M;1
1136;HS;5;8;CA;1;2;A;NA;595;19;3;0.576;3;2;;Southern California;1;CHD;1;K;8;92;M;0.212;1;CA History;NEW;33;595;1;336;336;Elementary;Middle;May;H;0;0.358695652;0.942857143;S;0
1137;HS;4;4;CA;0;2;A;NA;557;23;2;0.489;2;2;;Southern California;5;CHD;0;PK;8;400;O;0.426;0;CA History;EXISTING;47;557;0;NA;NA;Elementary;Elementary;May;H;1;0.1175;0.959183673;S-M;1
1138;HS;4;4;CA;0;2;A;NA;732;32;1;0.451;2;3;;Southern California;5;Private non-Christian;1;PK;8;650;Q;0.155;1;CA History;EXISTING;71;732;1;231;231;Elementary;Elementary;May;H;1;0.109230769;0.959459459;M-L;1
1139;HS;4;4;CA;0;2;A;NA;610;0;0;0;0;1;;Southern California;7;PUBLIC;0;;NA;;;0;1;CA History;EXISTING;3;610;0;NA;NA;Elementary;Elementary;May;H;1;NA;0.75;;1
1140;HG;4;4;CA;0;2;B;SA;399;0;0;0;2;1;;Northern California;4;Private non-Christian;0;K;2;138;Q;0;1;CA History;EXISTING;43;399;0;NA;NA;Elementary;Elementary;May;H;1;0.311594203;0.977272727;S;1
1141;HS;4;6;CA;0;2;A;NA;599;5;0;0.714;0;1;;Southern California;1;Private non-Christian;0;K;12;90;Q;0.286;0;CA History;NEW;7;599;0;NA;NA;Elementary;Middle;May;H;0;0.077777778;0.875;S;1
1142;HD;7;8;MN;1;3;A;NA;1334;19;6;0.543;9;4;B;Other;10;PUBLIC;1;6;8;983;M;0.229;0;East Coast;EXISTING;35;1334;1;219;219;Middle;Middle;May;H;0;0.03560529;0.897435897;L;0
1143;HD;8;8;MI;0;4;B;NA;750;34;6;0.34;12;10;B;Other;10;PUBLIC;1;6;8;628;P;0.32;0;East Coast;EXISTING;100;750;1;233;233;Middle;Middle;May;H;1;0.159235669;0.909090909;M-L;1
1144;HD;8;8;MI;0;3;B;NA;747;59;3;0.447;3;9;B;Other;5;PUBLIC;1;6;8;589;O;0.311;0;East Coast;EXISTING;132;747;1;231;231;Middle;Middle;May;H;1;0.224108659;0.936170213;M-L;1
1145;HC;8;8;CA;0;8;A;FR;2599;81;5;0.491;6;10;;Southern California;5;CHD;1;5;8;460;Q;0.303;1;East Coast;EXISTING;165;2599;1;218;218;Middle;Middle;May;H;1;0.358695652;0.942857143;S-M;1
1146;HD;8;8;IL;0;3;A;FR;864;23;6;0.397;5;5;B;Other;10;PUBLIC;1;6;8;723;P;0.138;0;East Coast;EXISTING;58;864;1;228;228;Middle;Middle;May;H;1;0.0802213;0.920634921;M-L;1
1147;HN;8;8;TX;0;4;A;NA;1798;24;13;0.632;20;4;B;Dallas;10;PUBLIC;1;6;8;1066;O;0.184;0;East Coast;EXISTING;38;1798;2;374;255;Middle;Middle;May;H;1;0.03564728;0.904761905;L;1
1148;HD;8;8;KY;0;5;B;FR;660;31;17;0.369;29;6;B;Other;10;PUBLIC;1;6;8;800;J;0.071;1;East Coast;EXISTING;84;660;1;234;234;Middle;Middle;May;H;1;0.105;0.933333333;M-L;1
1149;HF;4;5;CA;1;1;A;NA;499;13;6;0.867;7;2;C;Southern California;5;PUBLIC;0;K;8;1030;P;0.333;1;CA History;EXISTING;15;499;0;NA;NA;Elementary;Elementary;May;H;0;0.014563107;0.882352941;L;1
1150;HS;4;4;CA;0;1;A;NA;398;16;3;0.327;6;4;;Southern California;5;Catholic;1;PK;8;350;P;0.225;0;CA History;EXISTING;49;398;1;226;226;Elementary;Elementary;May;H;1;0.14;0.924528302;S-M;1
1151;HS;4;4;CA;0;1;A;NA;392;30;3;0.588;6;1;;Southern California;5;Catholic;1;K;8;540;Q;0.255;0;CA History;EXISTING;51;392;1;240;240;Elementary;Elementary;May;H;1;0.094444444;0.980769231;S-M;1
1152;HS;4;4;CA;0;1;A;NA;398;14;4;0.539;9;1;;Southern California;11;Catholic;1;K;8;172;L;0.269;0;CA History;NEW;26;398;1;248;248;Elementary;Elementary;May;H;1;0.151162791;0.962962963;S;1
1153;HD;7;8;NY;1;3;A;NA;1090;86;10;0.827;8;8;B;Other;5;PUBLIC;1;6;8;520;M;0.289;0;East Coast;EXISTING;104;1090;1;234;234;Middle;Middle;May;H;0;0.2;0.928571429;S-M;0
1154;HD;8;NA;NV;0;5;A;NA;1944;34;4;0.667;9;5;;Other;5;Catholic;1;PK;8;668;C;0.255;0;East Coast;EXISTING;51;1944;1;242;242;Middle;Undefined;May;H;0;0.076347305;0.910714286;M-L;1
1155;CD;8;8;CA;0;6;A;FR;1999;31;7;0.544;5;6;;Southern California;5;CHD;1;PK;8;403;P;0.298;1;East Coast;EXISTING;57;1999;1;241;241;Middle;Middle;May;C;1;0.141439206;0.904761905;S-M;1
1156;CD;8;8;CA;0;6;A;NA;2256;2;1;0.5;3;1;;Southern California;5;CHD;1;PK;8;220;P;0.25;0;East Coast;EXISTING;4;2256;1;228;228;Middle;Middle;May;C;1;0.018181818;0.8;S;1
1157;CD;8;8;AZ;0;6;A;NA;2181;10;0;0.526;0;1;;Other;7;CHD;1;;NA;;;0;0;East Coast;EXISTING;19;2181;1;257;257;Middle;Middle;May;C;1;NA;0.95;;1
1158;CD;7;8;CA;1;6;A;NA;2232;2;4;0.286;5;1;;Southern California;10;CHD;1;K;8;120;Q;0.143;1;East Coast;NEW;7;2232;2;569;254;Middle;Middle;May;C;0;0.058333333;0.875;S;0
1159;HD;8;8;TX;0;4;A;CP;1599;38;6;0.826;5;5;B;Dallas;10;PUBLIC;1;6;8;200;O;0.109;0;East Coast;EXISTING;46;1599;1;230;230;Middle;Middle;May;H;1;0.23;0.901960784;S;1
1160;HD;8;8;OH;0;4;B;CP;816;34;3;0.276;7;16;B;Other;10;PUBLIC;1;6;8;500;J;0.211;0;East Coast;EXISTING;123;816;1;244;244;Middle;Middle;May;H;1;0.246;0.884892086;S-M;1
1161;CC;8;8;CA;0;5;A;NA;2244;9;3;0.409;6;3;;Southern California;10;Private non-Christian;1;PK;8;150;Z;0.091;0;East Coast;EXISTING;22;2244;1;269;269;Middle;Middle;May;C;1;0.146666667;0.88;S;1
1162;CC;6;8;TX;0;5;A;FR;2094;6;2;0.75;3;1;;Houston;10;CHD;1;7;12;222;K;0;0;East Coast;NEW;8;2094;2;370;237;Middle;Middle;May;C;0;0.036036036;0.888888889;S;1
1163;HD;8;8;MA;0;5;B;NA;998;21;1;0.5;2;4;;Other;10;Catholic;1;PK;8;642;O;0.214;0;East Coast;NEW;42;998;1;222;222;Middle;Middle;May;H;1;0.065420561;0.913043478;M-L;1
1164;HD;7;8;CA;0;6;A;FR;2049;20;4;0.714;9;2;B;Southern California;5;PUBLIC;1;7;12;3600;P;0.143;0;East Coast;EXISTING;28;2049;1;229;229;Middle;Middle;May;H;0;0.007777778;0.933333333;L;1
1165;HC;8;8;CA;0;6;A;FR;2348;40;7;0.8;7;8;C;Southern California;5;PUBLIC;1;6;8;1036;O;0.5;0;East Coast;EXISTING;50;2348;1;234;234;Middle;Middle;May;H;1;0.048262548;0.862068966;L;1
1166;HD;8;8;CA;0;5;A;FR;2015;29;0;0.707;0;4;A;Northern California;5;PUBLIC;1;K;8;360;O;0.342;0;East Coast;EXISTING;41;2015;1;248;248;Middle;Middle;May;H;1;0.113888889;0.911111111;S-M;1
1167;CD;8;8;CA;0;6;A;CP;1894;16;0;0.471;1;2;;Southern California;5;CHD;1;K;8;286;P;0.177;1;East Coast;EXISTING;34;1894;1;262;262;Middle;Middle;May;C;1;0.118881119;0.944444444;S;1
1168;HG;4;5;CA;0;2;A;NA;655;5;0;0.357;0;1;;Southern California;7;PUBLIC;0;;NA;;;0.286;1;CA History;EXISTING;14;655;0;NA;NA;Elementary;Elementary;May;H;0;NA;0.933333333;;1
1169;CD;8;8;TN;0;3;A;NA;1269;14;1;0.583;1;1;;Other;10;Catholic;1;PK;8;205;Q;0.292;0;East Coast;NEW;24;1269;2;390;270;Middle;Middle;May;C;1;0.117073171;0.96;S;1
1170;HD;8;8;MI;0;4;A;FR;935;83;10;0.497;15;15;B;Other;10;PUBLIC;1;6;8;930;O;0.216;1;East Coast;EXISTING;167;935;1;235;235;Middle;Middle;May;H;1;0.179569892;0.917582418;L;1
1171;HD;8;8;TN;0;4;A;FR;1527;35;8;0.5;7;7;;Other;2;Catholic;1;PK;8;903;P;0.243;0;East Coast;EXISTING;70;1527;1;270;270;Middle;Middle;May;H;1;0.07751938;0.909090909;L;1
1172;CD;8;8;TX;0;4;A;FR;1385;43;1;0.467;3;6;;Houston;5;CHD;1;PK;8;650;Q;0.304;1;East Coast;EXISTING;92;1385;1;243;243;Middle;Middle;May;C;1;0.141538462;0.93877551;M-L;1
1173;HG;4;4;CA;0;4;A;NA;961;13;2;0.565;4;1;;Southern California;5;Private non-Christian;0;PK;8;236;M;0.174;0;CA History;EXISTING;23;961;0;NA;NA;Elementary;Elementary;May;H;1;0.097457627;0.958333333;S;1
1174;CD;5;6;TX;0;4;A;NA;1589;12;0;0.923;0;1;;Dallas;1;CHD;0;K;8;70;G;0.077;0;East Coast;EXISTING;13;1589;0;NA;NA;Elementary;Middle;May;C;0;0.185714286;0.928571429;S;0
1175;CD;NA;NA;NV;0;4;A;NA;1774;2;1;0.222;2;2;;Other;5;CHD;1;PK;12;510;L;0;0;East Coast;NEW;9;1774;1;192;192;Undefined;Undefined;May;C;0;0.017647059;0.818181818;S-M;0
1176;HD;NA;NA;CA;0;5;A;NA;1699;19;6;0.559;10;4;D;Northern California;5;PUBLIC;1;7;8;360;F;0.147;0;East Coast;EXISTING;34;1699;1;237;237;Undefined;Undefined;May;H;0;0.094444444;0.894736842;S-M;1
1177;HD;6;8;FL;1;5;A;NA;1372;16;9;0.444;8;2;;Other;1;CHD;1;K;8;86;J;0.167;0;East Coast;EXISTING;36;1372;1;263;263;Middle;Middle;May;H;0;0.418604651;0.947368421;S;0
1178;HD;8;8;OH;0;5;B;NA;817;19;5;0.235;11;8;C;Other;10;PUBLIC;1;6;8;577;I;0.099;0;East Coast;NEW;81;817;1;235;235;Middle;Middle;May;H;1;0.140381282;0.91011236;M-L;0
1179;HD;7;8;LA;0;4;A;NA;1647;32;3;0.696;3;4;;Other;5;Catholic;1;PK;7;733;P;0.37;0;East Coast;EXISTING;46;1647;1;250;250;Middle;Middle;May;H;0;0.062755798;0.92;M-L;1
1180;HD;8;8;FL;0;5;A;NA;1602;31;1;0.554;4;6;;Other;10;Private non-Christian;1;PK;12;635;K;0.143;0;East Coast;EXISTING;56;1602;1;255;255;Middle;Middle;May;H;1;0.088188976;0.903225806;M-L;1
1181;HO;7;8;CA;0;5;A;NA;1998;14;2;0.824;2;2;;Northern California;5;Private non-Christian;1;PK;8;350;Q;0.235;0;East Coast;EXISTING;17;1998;1;249;249;Middle;Middle;May;H;0;0.048571429;0.894736842;S-M;1
1182;HD;8;8;MN;0;5;A;FR;1583;16;0;0.41;0;4;;Other;10;CHD;1;PK;8;363;O;0.308;0;East Coast;EXISTING;39;1583;2;431;231;Middle;Middle;May;H;1;0.107438017;0.906976744;S-M;1
1183;HD;8;8;CA;0;5;A;NA;2099;1;0;0.143;0;1;;Northern California;1;Private non-Christian;1;PK;8;109;O;0;0;East Coast;EXISTING;7;2099;1;251;251;Middle;Middle;May;H;1;0.064220183;0.875;S;1
1184;HD;8;8;MI;0;5;B;NA;639;40;4;0.678;4;4;A;Other;5;PUBLIC;0;6;8;810;Q;0.17;0;East Coast;NEW;59;639;0;NA;NA;Middle;Middle;May;H;1;0.072839506;0.936507937;M-L;1
1185;HD;7;8;WI;0;6;B;FR;906;7;6;0.35;7;1;;Other;1;CHD;1;PK;8;125;K;0.5;0;East Coast;EXISTING;20;906;2;369;243;Middle;Middle;May;H;0;0.16;0.952380952;S;0
1186;HG;4;4;CA;1;2;A;SA;643;0;0;0;1;2;;Southern California;5;Private non-Christian;1;PK;8;233;Q;0;1;CA History;NEW;31;643;1;180;180;Elementary;Elementary;May;H;1;0.13304721;0.939393939;S;0
1187;HD;8;8;MA;0;4;B;SA;717;0;0;0;2;1;;Other;2;Private non-Christian;0;PK;9;310;P;0;0;East Coast;EXISTING;33;717;0;NA;NA;Middle;Middle;May;H;1;0.106451613;0.970588235;S;0
1188;HD;8;8;FL;0;4;A;NA;1471;4;1;0.667;5;1;C;Other;1;PUBLIC;1;6;8;1132;L;0.167;0;East Coast;NEW;6;1471;1;258;258;Middle;Middle;May;H;1;0.005300353;0.857142857;L;1
1189;HD;8;8;MI;0;4;A;CP;1265;6;2;0.546;2;1;;Other;1;Catholic;1;K;8;145;J;0.273;0;East Coast;EXISTING;11;1265;1;259;259;Middle;Middle;May;H;1;0.075862069;0.916666667;S;1
1190;HD;8;8;IL;0;3;A;NA;1095;0;0;0;4;3;B;Other;10;PUBLIC;1;K;8;330;I;0;1;East Coast;EXISTING;27;1095;1;270;270;Middle;Middle;May;H;1;0.081818182;0.9;S;1
1191;HD;8;8;CA;0;4;A;NA;1645;10;1;0.417;2;2;;Southern California;5;Catholic;1;1;8;283;Q;0.208;0;East Coast;NEW;24;1645;1;251;251;Middle;Middle;May;H;1;0.084805654;0.923076923;S;1
1192;HD;8;8;CA;0;5;A;NA;1999;13;3;0.619;6;1;C;Northern California;10;PUBLIC;0;K;8;633;Q;0.238;0;East Coast;EXISTING;21;1999;0;NA;NA;Middle;Middle;May;H;1;0.033175355;0.954545455;M-L;1
1193;HD;8;8;KY;0;3;B;NA;614;59;13;0.546;16;9;A;Other;10;PUBLIC;1;6;8;662;P;0.241;0;East Coast;EXISTING;108;614;2;281;250;Middle;Middle;May;H;1;0.163141994;0.923076923;M-L;1
1194;HD;8;8;OH;0;5;B;NA;713;23;4;0.319;4;7;A;Other;10;PUBLIC;1;7;12;700;L;0.25;1;East Coast;EXISTING;72;713;1;245;245;Middle;Middle;May;H;1;0.102857143;0.911392405;M-L;0
1195;HVP;9;12;KY;1;5;B;FR;734;1;0;0.059;3;2;B;Other;2;PUBLIC;1;PK;12;245;G;0;0;East Coast;NEW;17;734;1;434;434;High;High;May;H;0;0.069387755;0.894736842;S;0
1196;HD;8;8;OH;0;6;B;SA;869;0;0;0;9;12;B;Other;10;PUBLIC;1;5;8;790;J;0;0;East Coast;EXISTING;125;869;1;244;244;Middle;Middle;May;H;1;0.158227848;0.912408759;M-L;1
1197;HC;8;8;WA;0;10;A;CP;3224;14;1;0.7;0;1;;Pacific Northwest;5;Private non-Christian;1;PK;8;314;M;0.35;0;East Coast;EXISTING;20;3224;2;451;245;Middle;Middle;May;H;1;0.063694268;0.952380952;S;1
1198;HS;4;4;CA;0;2;A;NA;592;16;0;0.571;0;2;;Southern California;4;Private non-Christian;0;PK;7;225;Q;0.107;1;CA History;EXISTING;28;592;0;NA;NA;Elementary;Elementary;May;H;1;0.124444444;0.933333333;S;1
1199;HS;4;4;CA;0;2;A;NA;525;0;1;0;2;1;;Southern California;5;CHD;1;K;12;1400;J;0;0;CA History;NEW;45;525;1;212;212;Elementary;Elementary;May;H;1;0.032142857;0.97826087;L;0
1200;HD;8;8;IL;0;3;A;NA;1066;29;1;0.691;0;5;;Other;5;Catholic;1;PK;8;653;N;0.238;1;East Coast;EXISTING;42;1066;1;241;241;Middle;Middle;May;H;1;0.06431853;0.893617021;M-L;1
1201;HD;7;7;IL;0;3;A;NA;849;5;0;0.385;1;1;;Other;10;Private non-Christian;1;PK;8;200;M;0.308;0;East Coast;NEW;13;849;1;231;231;Middle;Middle;May;H;1;0.065;0.928571429;S;0
1202;HD;8;8;IL;0;3;A;NA;930;42;3;0.677;3;6;A;Other;10;PUBLIC;1;5;8;365;O;0.436;0;East Coast;NEW;62;930;2;377;238;Middle;Middle;May;H;1;0.169863014;0.911764706;S-M;1
1203;HG;4;4;CA;0;3;B;NA;579;21;0;0.6;1;2;;Northern California;5;Private non-Christian;1;PK;8;378;Q;0.286;1;CA History;EXISTING;35;579;1;259;259;Elementary;Elementary;May;H;1;0.092592593;0.945945946;S-M;1
1204;HZ;8;8;CA;0;3;T;SA;613;0;0;0;1;1;;Southern California;5;CHD;0;PK;8;350;O;0;1;CA History;EXISTING;32;613;0;NA;NA;Middle;Middle;May;H;1;0.091428571;0.96969697;S-M;1
1205;HD;8;8;NJ;0;3;B;SA;557;0;0;0;10;20;A;Other;2;PUBLIC;0;6;8;650;Q;0;0;East Coast;EXISTING;230;557;0;NA;NA;Middle;Middle;May;H;1;0.353846154;0.92;M-L;0
1206;HD;7;8;IL;0;3;A;FR;899;26;4;0.394;6;6;C;Other;10;PUBLIC;1;6;8;365;I;0.061;0;East Coast;NEW;66;899;1;209;209;Middle;Middle;May;H;0;0.180821918;0.916666667;S-M;0
1207;HD;8;8;OH;0;3;A;FR;1219;67;6;0.691;12;7;B;Other;5;PUBLIC;1;7;8;650;L;0.206;1;East Coast;EXISTING;97;1219;1;259;259;Middle;Middle;May;H;1;0.149230769;0.932692308;M-L;0
1208;HD;11;12;TX;0;4;A;NA;1717;3;1;0.333;4;1;B;Dallas;8;PUBLIC;1;9;12;1388;L;0;0;East Coast;NEW;9;1717;1;258;258;High;High;May;H;0;0.00648415;0.9;L;0
1209;HD;8;8;IL;0;3;A;NA;989;47;2;0.681;4;4;A;Other;5;PUBLIC;0;5;8;460;O;0.159;0;East Coast;NEW;69;989;0;NA;NA;Middle;Middle;May;H;1;0.15;0.945205479;S-M;1
1210;HD;8;8;OH;0;4;B;NA;721;37;3;0.5;4;5;B;Other;10;PUBLIC;0;6;8;850;N;0.216;0;East Coast;EXISTING;74;721;0;NA;NA;Middle;Middle;May;H;1;0.087058824;0.936708861;L;1
1211;HD;NA;NA;OH;0;4;B;NA;787;67;5;0.545;4;12;A;Other;5;PUBLIC;1;6;8;1073;N;0.293;0;East Coast;EXISTING;123;787;1;245;245;Undefined;Undefined;May;H;0;0.114631873;0.911111111;L;1
1212;HD;8;8;OH;0;4;B;FR;785;38;3;0.551;3;8;B;Other;10;PUBLIC;1;7;8;366;I;0.232;0;East Coast;EXISTING;69;785;1;246;246;Middle;Middle;May;H;1;0.18852459;0.896103896;S-M;1
1213;HD;7;8;OH;1;4;B;CP;515;33;5;0.327;10;9;B;Other;10;PUBLIC;1;7;12;260;J;0.089;0;East Coast;EXISTING;101;515;1;250;250;Middle;Middle;May;H;0;0.388461538;0.918181818;S;0
1214;CVP;8;8;TN;0;3;B;NA;488;23;2;0.605;2;1;;Other;2;CHD;1;PK;12;200;C;0.105;0;East Coast;NEW;38;488;2;393;260;Middle;Middle;May;C;1;0.19;0.974358974;S;0
1215;HD;7;8;SC;0;5;B;SA;814;0;0;0;3;3;D;Other;10;PUBLIC;1;7;8;500;B;0;0;East Coast;EXISTING;22;814;1;239;239;Middle;Middle;May;H;0;0.044;0.88;S-M;1
1216;HD;8;8;CO;0;5;A;NA;1349;18;12;0.474;13;4;C;Other;4;PUBLIC;1;K;5;333;F;0.079;0;East Coast;NEW;38;1349;1;246;246;Middle;Middle;May;H;1;0.114114114;0.904761905;S;1
1217;HVP;8;8;SC;0;3;B;NA;453;55;10;0.64;10;7;B;Other;10;PUBLIC;1;6;8;864;H;0.163;0;East Coast;NEW;86;453;1;190;190;Middle;Middle;May;H;1;0.099537037;0.924731183;L;0
